"uri","date","title","uin"
"http://data.parliament.uk/resources/692261","2017-02-21","Draft Housing and Planning Act 2016 (Permission in Principle etc) (Miscellaneous Amendments) (England) Regulations 2017","CD:2017-02-21:231"
"http://data.parliament.uk/resources/686587","2017-02-08","Draft Important Public Services (Education) Regulations 2017","CD:2017-02-08:212"
"http://data.parliament.uk/resources/686588","2017-02-08","Draft Important Public Sevices (Transport) Regulations 2017","CD:2017-02-08:213"
"http://data.parliament.uk/resources/686589","2017-02-08","Draft Important Public Services (Health) Regulations 2017","CD:2017-02-08:214"
"http://data.parliament.uk/resources/686590","2017-02-08","Draft Important Public Sevices (Border Security) Regulations 2017","CD:2017-02-08:215"
"http://data.parliament.uk/resources/686591","2017-02-08","Draft Important Public Services (Fire) Regulations 2017","CD:2017-02-08:216"
"http://data.parliament.uk/resources/686592","2017-02-08","Draft Trade Union Act 2016 (Political Funds) (Transition Period) Regulations 2017","CD:2017-02-08:217"
"http://data.parliament.uk/resources/686593","2017-02-08","Comprehensive Economic Trade Agreement (CETA) between the EU and Canada","CD:2017-02-08:218"
"http://data.parliament.uk/resources/686610","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House New Clause 2","CD:2017-02-08:219"
"http://data.parliament.uk/resources/686611","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House New Clause 7","CD:2017-02-08:220"
"http://data.parliament.uk/resources/686613","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House Amdt 29","CD:2017-02-08:221"
"http://data.parliament.uk/resources/686614","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House Amdt 11","CD:2017-02-08:222"
"http://data.parliament.uk/resources/686617","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House Amdt 43","CD:2017-02-08:223"
"http://data.parliament.uk/resources/686619","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House Amdt 86","CD:2017-02-08:224"
"http://data.parliament.uk/resources/686620","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House Clauses 1 and 2 stand part","CD:2017-02-08:225"
"http://data.parliament.uk/resources/686623","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House New Clause 57","CD:2017-02-08:226"
"http://data.parliament.uk/resources/686644","2017-02-08","European Union (Notification of Withdrawal) Bill: Committee of the whole House New Clause 192","CD:2017-02-08:227"
"http://data.parliament.uk/resources/686645","2017-02-08","European Union (Notification of Withdrawal) Bill: Third Reading","CD:2017-02-08:228"
"http://data.parliament.uk/resources/685695","2017-02-07","EU (Notification of Withdrawal) Bill Committee of the whole House: New Clause 110","CD:2017-02-07:204"
"http://data.parliament.uk/resources/685703","2017-02-07","EU (Notification of Withdrawal) Bill Committee of the whole House: New Clause 180","CD:2017-02-07:209"
"http://data.parliament.uk/resources/685768","2017-02-07","EU (Notification of Withdrawal) Bill Committee of the whole House: New Clause 5","CD:2017-02-07:210"
"http://data.parliament.uk/resources/685795","2017-02-07","EU (Notification of Withdrawal) Bill Committee of the whole House: New Clause 143","CD:2017-02-07:211"
"http://data.parliament.uk/resources/685669","2017-02-06","EU (Notification of Withdrawal) Bill: Committee of the whole House New Clause 3","CD:2017-02-06:206"
"http://data.parliament.uk/resources/685670","2017-02-06","EU (Notification of Withdrawal) Bill Committee: New Clause 4","CD:2017-02-06:205"
"http://data.parliament.uk/resources/685671","2017-02-06","EU (Notification of Withdrawal) Bill: Committee of the whole House New Clause 26","CD:2017-02-06:207"
"http://data.parliament.uk/resources/685672","2017-02-06","EU (Notification of Withdrawal) Bill Committee of the whole House: New Clause 158","CD:2017-02-06:208"
"http://data.parliament.uk/resources/682569","2017-02-01","European Union (Notification Etc.) Bill: Second Reading - Mr Robertson's Amendment","CD:2017-02-01:201"
"http://data.parliament.uk/resources/682570","2017-02-01","European Union (Notification of Withdrawal) Bill: Second Reading","CD:2017-02-01:202"
"http://data.parliament.uk/resources/682576","2017-02-01","European Union (Notification of Withdrawal) Bill: Programme","CD:2017-02-01:203"
"http://data.parliament.uk/resources/678297","2017-01-25","Opposition Motion: Prisons","CD:2017-01-25:199"
"http://data.parliament.uk/resources/678298","2017-01-25","Draft Bank of England and Financial Services (Consequential Amendments) Regulations 2017","CD:2017-01-25:198"
"http://data.parliament.uk/resources/678341","2017-01-25","Opposition Motion: School Funding","CD:2017-01-25:200"
"http://data.parliament.uk/resources/677697","2017-01-24","Ten Minute Rule Motion: Industrial Action (Protection of Critical National Services)","CD:2017-01-24:195"
"http://data.parliament.uk/resources/677700","2017-01-24","Wales Bill: Lords Amendment 36 - Amdt (a)","CD:2017-01-24:196"
"http://data.parliament.uk/resources/677755","2017-01-24","Charter for Budget Responsibility","CD:2017-01-24:197"
"http://data.parliament.uk/resources/675977","2017-01-20","Motion to sit in private","CD:2017-01-20:194"
"http://data.parliament.uk/resources/674601","2017-01-18","Draft Combined Authorities (Mayoral Elections) Order 2017","CD:2017-01-18:193"
"http://data.parliament.uk/resources/673844","2017-01-17","Opposition Motion: Effect of the UK leaving the EU on the rural economy","CD:2017-01-17:190"
"http://data.parliament.uk/resources/673874","2017-01-17","Opposition Motion: DWP policies and low-income households","CD:2017-01-17:191"
"http://data.parliament.uk/resources/673875","2017-01-17","Opposition Motion: DWP policies and low-income households--Prime Minister Amendment","CD:2017-01-17:192"
"http://data.parliament.uk/resources/671450","2017-01-11","Opposition Motion: NHS and social care funding","CD:2017-01-11:189"
"http://data.parliament.uk/resources/670447","2017-01-10","Commonwealth Development Corporation Bill: Report Stage New Clause 1","CD:2017-01-10:184"
"http://data.parliament.uk/resources/670448","2017-01-10","Commonwealth Development Corporation Bill: Report Stage Amdt 3","CD:2017-01-10:185"
"http://data.parliament.uk/resources/670508","2017-01-10","Policing and Crime Bill: Lords Amendment 24 Motion to disagree","CD:2017-01-10:186"
"http://data.parliament.uk/resources/670510","2017-01-10","Policing and Crime Bill: Lords Amendment 96 Motion to disagree","CD:2017-01-10:187"
"http://data.parliament.uk/resources/670534","2017-01-10","Policing and Crime Bill: Lords Amendment 136 Motion to disagree","CD:2017-01-10:188"
"http://data.parliament.uk/resources/669733","2017-01-09","Technical and Further Education Bill: Report Stage New Clause 4","CD:2017-01-09:182"
"http://data.parliament.uk/resources/669796","2017-01-09","Technical and Further Education Bill: Report Stage Amendment 22","CD:2017-01-09:183"
